Name,Direct Link,Hashtags,Description,Pricing model,Coupon,Has Coupon,Has Free Trial,Realated Videos
Google Bard,https://bard.google.com,Chat,"Bard is an early experiment by Google that allows users to collaborate with generative AI to boost productivity, accelerate ideas, and fuel curiosity. Powered by a research large language model (LLM), Bard assists users by generating responses to prompts, outlining blog posts, providing tips, and explaining complex concepts in simple terms. As an experiment, Bard may sometimes produce inaccurate or biased information, but it also offers multiple drafts of responses for users to choose from. Google is rolling out access to Bard in the U.S. and the U.K., with plans to expand to more countries and languages over time.",Free,,FALSE,FALSE,
Adobe Firefly,https://firefly.adobe.com,Generative Art,"Adobe Firefly is a family of creative generative AI models designed to enhance the creative process for artists, designers, and creators. It allows users to generate extraordinary content using everyday language and offers potential applications in digital imaging, photography, illustration, graphic design, video, marketing, social media, and 3D modeling. Firefly aims to provide practical advantages to creators, streamline workflows, and offer AI tools made specifically for creative needs. Adobe is committed to developing Firefly responsibly, ensuring transparency and accountability in generative AI.",Free,,FALSE,FALSE,
Bing Create,https://www.bing.com/create,Generative Art,The Microsoft Bing Image Creator is a tool that uses AI to generate images based on words and text. It allows users to redeem Rewards points for boosts to speed up the image generation process. It is currently available in some regions and the team is working to bring it to more regions. It is powered by an advanced version of DALLE-2,Free,,FALSE,FALSE,https://cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FUzcAaEZKu4A%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DUzcAaEZKu4A&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2FUzcAaEZKu4A%2Fhqdefault.jpg&key=96f1f04c5f4143bcb0f2e68c87d65feb&type=text%2Fhtml&schema=youtube
Get Floor Plan,https://getfloorplan.com,Productivity,"Getfloorplan is a service that provides 2D, 3D floor plans and 360° virtual tours to boost sales in real estate. It uses AI to create high quality materials quickly and at a low cost, and provides customers with a full pack of marketing materials. The service also offers a money-back guarantee if customers are unhappy with the result.",Paid,,FALSE,FALSE,
Hypertype,https://chrome.google.com/webstore/detail/hypertype/lohojfppjeknalpoklojhfnndocgekbd,Productivity,Hypertype is an AI-powered engine that helps teams find the most relevant information from emails and documents in real-time. It uses a Chrome extension to integrate directly with Gmail and allows users to upload their internal FAQs and documents. It extracts the most relevant context from emails and FAQs and automatically matches and fetches the best replies. Hyperbrain™ also automatically creates new knowledge and insights for teams.,Free,,FALSE,FALSE,
Magic Studio,https://magicstudio.com,Image Improvement,"Aarzoo Inc. provides a suite of tools to help create amazing product photos, stunning profile pictures, pictures with words, and remove unwanted things and backgrounds. It also offers the ability to enlarge pictures without losing quality and an FAQ section. Additionally, it has an affiliate program that rewards customers with 25% for referring customers.",Paid,,FALSE,TRUE,
NameSnack,https://www.namesnack.com,Productivity,"NameSnack is a free business name generator that allows users to create unique and memorable names for their brand. It uses machine learning, keyword combining and other proprietary techniques to generate names for websites, startups, apps, shops, stores, restaurants, podcasts, products, brands, Etsy shops, Shopify stores, blogs, and more. NameSnack also provides users with a domain name search, allowing them to instantly discover what domains are available. Additionally, users can generate a beautiful logo for their brand with a few clicks.",Free,,FALSE,FALSE,
Coda AI,https://coda.io/product/ai-alpha,Productivity,"Coda AI provides a platform for businesses and individuals to streamline their workflow processes. It allows users to consolidate their tool stack, save money with its pricing model, and access product updates, case studies, and solutions. Additionally, the platform offers tutorials, webinars, and a help center to help users get started. The Coda AI limited alpha is available by signing up on the waitlist to gain access to the platform's AI capabilities.",Price Unknown / Product Not Launched Yet,,FALSE,FALSE,
Fathom Lexicon,https://lexicon.fathoml.com,Productivity,Fathom Lexicon is a platform that allows users to quickly analyze and extract key information from large amounts of free form text. It can tailor extracted terms to fit the user's needs and highlight their usage. It also has advanced algorithms to automatically extract custom entities and disambiguate terms. It provides a glossary feature to store all extracted terms and definitions and a Term Page to allow for in-depth comprehension of relevant terms.,Freemium,,FALSE,FALSE,
SchoolAI,https://www.schoolai.co,Productivity,"SchoolAI is a tool that helps teachers save time by providing them with powerful AI emails, marking, lesson plans, ideas, quizzes, brainstorms, reports and more. It has features such as personalisation, email/letter mode, mark and grade mode, lesson plan mode, resource from lesson plan mode, quiz mode, brainstorm mode, and a time saved counter.",Paid,,FALSE,TRUE,
Bloop,https://bloop.ai,Productivity,"Bloop is a code discovery platform that allows users to search their codebase with natural language, regex matching, and precise code navigation. It can answer in over 20+ languages and provides an unlimited free tier for those who self-host. The platform also provides summarization and codebase change options to help speed up code review, planning, and other tasks.",Freemium,,FALSE,FALSE,
